dyu,fr
A bi ji min na,Il boit de l’eau.
A le dalakolontɛ lon bɛ.,Il se plaint toujours.
Mun? Fɛn dɔ.,Quoi ? Quelque chose.
O bɛ bi bɔra fo Gubeta.,Tous sortent excepté Gubetta.
A ale lo bi da bugɔ la!,Ah ! c’est lui… il sonne…
E nafa t'a ra.,Et sans rapport.
Sanu baa de bi n bolo,J'ai suffisamment d'or.
Onhon mɛ laɲini jumanan,Oui ; mais dans quel but ?
Kamele baba,de grands gars forts.
Duguden dɔ minɛ na.,Un civil a été capturé?!
Sigi yɔrɔ dɔ,D’autres chaises.
Surukuwuru binaani ni mugan.,Quarante-sept renards.
Jɔn le ka ɲigɛn ni fa?,Qui a bouché les toilettes?
Awɔ aw be n gwɛnna?,"Alors, vous me chassez ?"
Livru nin kadi nn ye,j'aime ce livre.
A be bɔ a kɔnɔ,Elle sort par le fond.
Kulɛr sabani sa.,Achète les trois couleurs.
N filila.,J'ai fait une erreur.
Jona fɛnɛn tɛ.,Surtout pas trop tôt.
A be nne fana lasiran.,"Et moi, ça me fait des peurs…"
Ni bonni kaɲi dɛ.,Quelle jolie maison !
A bɔra la.,Il s’en est tiré.
Jɔn le ka kuran faga ?,Qui a éteint la lumière ?
A te seka kè ka tèmè ni kan,Il ne peut pas faire plus.
a be faransi,Il est présent en France.
A tun be basikɛti zuela.,Il pratiquait le baseball.
Fama k'a kun wili,Le commissaire lève la tête.
An bi na don suu fɛ,Nous rentrerons dans la nuit.
I ka kɛ ka ɲɛ tuguni.,T’as encore bien fait…
N t'a fɛ.,Je ne veux pas !…
An siranna.,Nous avions eu peur.
Zuɛri binaani.,Une vingtaine de joueurs.
A ka kan ka Maloya san!,Vous devriez avoir honte.
Nɛnɛ be yi,le temps est froid.
Jii be yi,Il y a de l'eau ?
a lɔni le,elle est debout.
I be bolora bara juman le kɛra,Quel métier faites-vous ?
Deni ɲakisɛ ye bulalaman ye,Cet enfant a les yeux bleus.
A kɛ cogo le,C’est l’habitude.
Nin bɛ be tumadɔ tan,Tout cela demande du temps.
Muso kuma le kad'a ye.,La femme est son sujet favori.
Ni tununa.,Celle-ci a disparu.
Ta ka bɔ yɔrɔ ni nan n bi nana fani don.,"Va-t'en, je vais m'habiller."
I laanibala KO a bi na diya n ye wa,tu es sûr qu'on aimerait.
o b'a kunko ye,À ses risques et périls...
Ni kado ni ye ele ni nne ta ye.,Ce cadeau est à toi et à moi.
ɲiningali te nin ye.,Ce n’est pas la question.
Nin bi se ka min kɛ,Ce que cela peut faire ?…
Anw be ɲɔgɔnw kalan.,"nous, nous lisons."
I bi na subagaya ko juma le kɛ,Quel charlatan tu ferais !…
Awɔ kuma ɲanama lo wɛ.,Belle proposition en effet
O k'a bugɔ fo ka tɛmɛ.,Il a été très frappé.
I be se ka n ka dudu minɛ wa?,Tu peux tenir mon doudou?
Dɔgɔcɛ be Deliponti bolo.,Delliponti a un petit frère.
Biwɔrɔ ni tan ni kelen,Soixante et onze.
N bi na sira kɛ seen na.,Je ferai la route à pied.
A bi na kan labɔ tumawɛrɛ,Bientôt il éleva le ton.
An bina italiyen dumuni dumu.,On se fait un italien?
A ko a b'a yɛrɛ bila ka timi dɛ.,"Quelle négligence, se dit-il."
A ma sɔn o ma.,Ça ne compte pas.
N t'a famu na.,Je ne comprends pas !…
A ka sigilan ye brukig ye,Son siège est Brookings.
Miselin ka bɛ ɲafɔ nn ɲana,Micheline m’a tout dit.
I le lo ka fɔ ko i bi na n kɔnɔ,Tu avais promis de m’attendre.
N bi taga salɛm sini wulafɛ,Je pars à Salem demain soir.
Saraya bi a la,Elle est admirable.
A suma ni bɛ dɛ.,Que c’est froid !
A tun be tulo kɛ no ye,Il jouait avec eux.
A ka laban bila a la samiɲatuman na.,Il met fin à sa saison.
A be mɔgɔ fɛ ɲanaman.,Vous êtes très aimable.
So ni be panna.,La jument bondit.
Muso juman le ye nin ye?,Quelle est cette femme?
An ka dasi fila filɛ nin ye.,Voilà vos deux francs …'.
A ma foyi lɔn.,Elle ne sait jamais rien !
Vɔyaji kun be di le ?,Comment était le voyage ?
Duniya ka jan tuma dɔ la.,La vie est parfois si longue.
Bon nunu kɔnɔ.,Dans les maisons.
Puɛn fila fɔlɔ.,Deux points d’avance.
Sɛnkɛri lo be yi,il est cinq heures.
I kɔrɔmuso tɔgɔ be di?,Comment s'appelle votre sœur ?
Miniti kelen biloru.,Une minute cinquante.
A cɛ ma ɲi.,Il ne fait pas beau.
N dusukun tun degun na.,J'avais le cœur serré.
Nn darala ko a tun bi na diya i ye,Je suis sûr qu’il aurait aimé.
Somuso panna.,La jument bondit.
Taaga! Nn b'i gwɛna,Va-t’en ! je te chasse.
A bi se ka boyi.,Il peut donc être retiré.
Ɛsk ele y'i ka kalandenw sɔrɔ wa?,T'as eu des étudiants toi?
